,AnimalID,Protocol,Muscimol,SessionTime,TrialHighPerc,FirstPoke
8571,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8572,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8573,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8574,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8575,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8576,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8577,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8578,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8579,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8580,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8581,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8582,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8583,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8584,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8585,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8586,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8587,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8588,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8589,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8590,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8591,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8592,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8593,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8594,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8595,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8596,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8597,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8598,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8599,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8600,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8601,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
